user_id,item_id,rating,timestamp
948,763,,
948,879,,
948,1016,,
948,1028,,
948,1047,,
946,7,1.0,
946,9,,
946,11,,
946,12,4.0,
946,15,,
946,22,,
946,25,2.0,
946,28,,
946,50,5.0,
946,56,,
946,64,,
946,69,,
946,70,,
946,79,,
946,82,,
946,89,,
946,96,,
946,97,,
946,98,,
946,100,,
946,111,,
946,117,,
946,118,,
946,121,,
946,125,,
946,127,,
946,132,,
946,135,,
946,143,,
946,144,,
946,151,,
946,153,,
946,168,,
946,172,,
946,173,,
946,174,,
946,176,,
946,180,,
946,181,,
946,182,,
946,183,,
946,185,,
946,186,,
946,191,,
946,194,,
946,195,,
946,196,,
946,197,,
946,202,,
946,204,,
946,210,,
946,216,,
946,222,,
946,228,,
946,234,,
946,237,,
946,238,,
946,245,,
946,257,,
946,258,,
946,265,,
946,268,,
946,269,,
946,273,,
946,275,,
946,276,,
946,282,,
946,286,,
946,288,,
946,289,,
946,294,,
946,300,,
946,301,,
946,302,,
946,313,,
946,318,,
946,323,,
946,328,,
946,333,,
946,357,,
946,405,,
946,423,,
946,475,,
946,483,,
946,496,,
946,546,,
946,568,,
946,655,,
946,742,,
946,748,,
946,4,3.0,
946,8,,
946,13,3.0,
946,14,,
946,23,4.0,
946,24,,
946,58,3.0,
946,71,,
946,83,2.0,
946,88,3.0,
946,95,,
946,99,,
946,124,,
946,133,,
946,134,,
946,137,,
946,147,,
946,154,,
946,161,,
946,175,,
946,179,,
946,187,,
946,188,,
946,199,,
946,200,,
946,203,,
946,208,,
946,209,,
946,211,,
946,215,,
946,218,,
946,226,,
946,229,,
946,230,,
946,235,,
946,250,,
946,255,,
946,271,2.0,
946,272,3.0,
946,274,2.0,
946,283,,
946,284,2.0,
946,298,,
946,307,,
946,319,,
946,321,,
946,322,,
946,326,,
946,327,,
946,340,,
946,367,,
946,385,,
946,393,,
946,402,3.0,
946,403,1.0,
946,419,3.0,
946,427,1.0,
946,432,2.0,
946,433,,
946,435,,
946,451,,
946,471,,
946,474,,
946,479,,
946,480,,
946,508,,
946,511,,
946,514,,
946,515,,
946,523,,
946,527,,
946,566,,
946,582,,
946,588,,
946,591,,
946,597,,
946,603,,
946,628,,
946,651,,
946,678,,
946,684,,
946,732,,
946,751,,
946,845,,
946,31,2.0,
946,42,3.0,
946,47,1.0,
946,55,2.0,
946,66,2.0,
946,68,1.0,
946,77,1.0,
946,86,3.0,
946,87,3.0,
946,91,4.0,
946,94,1.0,
946,150,,
946,156,,
946,164,2.0,
946,177,1.0,
946,193,4.0,
946,205,4.0,
946,213,2.0,
946,223,2.0,
946,227,3.0,
946,231,3.0,
946,239,3.0,
946,240,,
946,248,,
946,252,,
946,259,,
946,270,,
946,281,4.0,
946,285,3.0,
946,293,3.0,
946,303,2.0,
946,304,2.0,
946,310,4.0,
946,315,,
946,332,5.0,
946,347,,
946,358,3.0,
946,410,4.0,
946,411,2.0,
946,431,3.0,
946,443,,
946,455,,
946,462,,
946,472,,
946,476,,
946,484,,
946,498,,
946,550,,
946,559,,
946,654,,
946,660,,
946,685,,
946,690,,
946,692,,
946,705,,
946,735,,
946,739,,
946,763,,
946,879,,
946,1016,,
946,1028,,
946,1047,,
946,2,,
946,53,,
946,72,,
946,73,,
946,109,,
946,129,,
946,148,,
946,243,,
946,249,2.0,
946,325,3.0,
946,418,3.0,
946,482,3.0,
946,531,3.0,
946,657,3.0,
946,756,3.0,
946,62,5.0,
946,157,,
946,198,,
946,241,,
946,596,,
946,260,5.0,
946,291,2.0,
946,346,,
950,7,,
950,9,,
950,11,,
950,12,,
950,15,,
950,22,,
950,25,,
950,28,,
950,50,,
950,56,,
950,64,,
950,69,,
950,70,,
950,79,,
950,82,,
950,89,,
950,96,,
950,97,,
950,98,,
950,100,,
950,111,,
950,117,,
950,118,,
950,121,,
950,125,,
950,127,,
950,132,,
950,135,,
950,143,,
950,144,,
950,151,,
950,153,,
950,168,,
950,172,,
950,173,,
950,174,,
950,176,,
950,180,,
950,181,,
950,182,,
950,183,,
950,185,,
950,186,,
950,191,,
950,194,,
950,195,,
950,196,,
950,197,,
950,202,,
950,204,,
950,210,,
950,216,,
950,222,,
950,228,,
950,234,,
950,237,,
950,238,,
950,245,,
950,257,,
950,258,,
950,265,,
950,268,,
950,269,,
950,273,,
950,275,,
950,276,,
950,282,,
950,286,,
950,288,,
950,289,,
950,294,,
950,300,,
950,301,,
950,302,,
950,313,,
950,318,5.0,
950,323,,
950,328,4.0,
950,333,,
950,357,,
950,405,,
950,423,,
950,475,,
950,483,,
950,496,,
950,546,,
950,568,,
950,655,,
950,742,,
950,748,,
